"Ala_GC","Arg_AG","Arg_CG","Asn_AA","Asp_GA","Cys_TG","Gln_CA","Glu_GA","Gly_GG","His_CA","Ile_AT","Leu_CT","Leu_TT","Lys_AA","Met_AT","Phe_TT","Pro_CC","Ser_AG","Ser_TC","Thr_AC","Trp_TG","Tyr_TA","Val_GT"
54,15,22,20,30,11,14,44,55,21,46,30,21,24,17,19,31,16,26,41,5,24,46
55,15,22,20,32,11,14,45,58,21,46,32,22,24,17,22,31,16,25,41,5,25,47
43,15,19,19,28,7,14,41,45,21,40,26,19,21,16,18,30,15,22,38,4,23,38
94,17,72,71,78,21,63,104,83,23,75,106,45,94,26,48,71,67,97,90,7,37,76
94,17,72,71,78,21,62,104,83,23,75,106,45,94,26,48,71,67,97,90,7,37,76
94,17,72,71,78,21,62,104,83,23,75,106,45,94,26,48,71,67,97,90,7,37,76
94,17,72,71,78,21,62,104,83,23,75,106,45,94,26,48,71,67,97,90,7,37,75
55,14,47,49,45,14,39,63,58,15,54,70,32,59,20,31,50,46,65,58,5,25,50
55,14,47,49,45,14,39,63,58,15,54,70,32,59,20,31,50,46,65,58,5,25,50
57,10,31,48,38,27,41,47,58,30,60,87,40,48,33,57,45,30,59,72,18,46,68
57,10,31,48,38,27,41,47,58,30,60,87,40,48,33,57,45,31,59,72,18,46,68
48,11,37,40,50,34,33,44,37,15,39,37,23,37,21,32,41,21,42,50,5,31,48
48,11,37,40,50,34,33,44,37,15,39,37,23,37,21,32,41,21,42,50,5,31,48
48,11,37,40,50,34,33,44,37,15,39,37,23,37,21,32,41,21,42,50,5,31,48
48,11,37,40,50,34,33,44,37,15,39,37,23,37,21,32,41,21,42,50,5,31,48
48,11,37,40,50,34,33,44,37,15,39,37,23,37,21,32,41,21,42,50,5,31,48
48,11,37,40,50,34,33,44,37,15,39,37,23,37,21,32,41,21,42,50,5,31,48
29,11,22,19,21,10,11,27,20,13,17,33,20,26,5,17,22,11,19,17,7,17,25
28,12,24,20,17,10,10,25,21,13,16,37,24,22,6,16,23,12,20,17,6,17,24
29,13,25,20,21,11,11,27,21,14,20,39,24,26,6,18,23,12,21,17,7,18,26
144,41,67,96,99,58,75,133,88,38,69,89,47,106,29,54,82,49,91,121,12,29,101
142,40,67,95,99,58,74,133,88,38,66,86,45,105,29,51,81,49,90,121,12,29,100
9,2,10,5,8,6,8,11,7,5,3,6,3,15,3,6,10,6,7,8,4,5,6
9,2,10,5,8,6,8,11,7,5,3,6,3,15,3,6,10,6,7,8,4,5,6
41,10,23,27,36,17,25,35,44,10,42,47,25,36,10,30,40,20,37,40,4,12,51
41,10,23,27,36,17,25,35,44,10,42,47,25,36,10,30,40,20,37,40,4,12,51
42,6,22,13,15,9,16,20,28,8,17,31,15,12,10,10,16,15,15,21,4,12,34
42,6,22,13,15,9,16,20,28,8,17,31,15,12,10,10,16,15,15,21,4,12,34
11,2,4,3,5,3,4,3,104,7,13,9,2,10,3,3,7,15,23,7,11,2,10
11,2,5,3,5,3,4,3,104,7,13,9,2,10,3,4,7,15,23,7,11,2,12
10,2,4,3,5,2,4,3,104,7,13,8,2,9,2,2,7,15,23,7,11,2,9
44,13,12,32,39,5,41,31,55,11,32,38,12,25,19,8,40,25,31,58,6,14,49
69,13,12,41,41,7,66,33,59,22,43,40,14,27,19,8,49,32,36,82,6,14,61
69,13,12,41,41,7,66,33,59,22,43,40,14,27,19,8,49,32,36,82,6,14,61
42,16,14,30,37,7,34,27,51,10,28,38,11,23,14,9,40,24,29,56,8,14,44
67,16,14,39,39,9,59,29,55,21,39,40,13,25,14,9,49,31,34,80,8,14,56
68,17,18,53,40,9,58,29,69,21,42,44,18,30,15,8,51,40,50,88,6,17,65
77,17,18,55,40,9,66,29,69,24,43,44,18,30,15,8,51,42,54,90,6,17,67
77,17,18,55,42,10,66,30,69,24,45,45,18,30,15,8,52,43,54,91,6,17,69
52,17,18,46,40,8,41,28,67,13,34,43,16,28,15,8,43,36,49,67,6,17,58
77,17,18,55,42,10,66,30,71,24,45,45,18,30,15,8,52,43,54,91,6,17,70
35,14,16,21,28,5,18,22,38,12,27,29,13,26,10,8,34,20,25,39,6,11,31
60,14,16,30,30,7,43,24,42,23,38,31,15,28,10,8,43,27,30,63,6,11,43
34,12,12,16,24,6,20,16,37,6,14,27,10,20,7,7,27,18,21,30,6,8,26
35,4,22,17,17,3,17,19,24,14,22,17,8,16,6,12,15,9,28,29,2,8,23
35,4,22,17,17,3,17,19,24,14,22,17,8,16,6,12,15,9,28,29,2,8,23
34,4,16,16,13,3,16,18,23,13,22,16,7,12,5,10,13,8,27,29,2,8,23
20,4,13,12,12,12,8,11,17,6,13,17,2,15,7,13,20,6,7,10,2,12,17
26,6,20,13,11,18,24,20,24,11,22,42,17,13,18,34,19,9,23,26,6,17,34
32,9,10,20,18,4,29,29,18,18,21,19,12,30,7,23,40,13,24,28,2,14,19
32,9,10,20,18,4,29,29,18,18,21,19,12,30,7,23,40,13,24,28,2,14,19
32,9,10,20,18,4,29,29,18,18,21,19,12,30,7,23,40,13,24,28,2,14,19
32,9,10,20,18,4,29,29,18,18,21,19,12,30,7,23,40,13,24,28,2,14,19
23,8,9,17,14,2,26,23,17,16,13,16,9,20,5,20,37,6,19,23,1,13,17
23,8,9,17,14,2,26,23,17,16,13,16,9,20,5,20,37,6,19,23,1,13,17
96,21,45,34,40,2,23,98,61,13,35,41,30,54,10,22,59,40,57,107,2,11,39
96,21,45,34,40,2,23,98,61,13,35,41,30,54,10,22,59,40,57,107,2,11,39
96,21,45,34,40,2,23,98,61,13,35,41,30,54,10,22,59,40,57,107,2,11,39
96,21,45,34,40,2,23,98,61,13,35,41,30,54,10,22,59,40,57,107,2,11,39
96,21,45,34,40,2,23,98,61,13,35,41,30,54,10,22,59,40,57,107,2,11,39
8,8,9,13,7,2,13,11,6,5,13,8,12,8,2,5,10,8,13,10,4,4,10
10,2,5,9,8,2,6,5,5,2,9,8,5,3,2,4,8,4,10,6,4,7,8
38,10,25,35,40,8,22,19,43,15,31,23,25,15,7,26,47,16,31,43,15,28,40
16,3,14,17,12,5,23,13,14,12,12,11,12,12,3,8,12,13,16,12,3,7,12
16,9,14,27,19,8,33,16,23,14,19,23,11,14,7,10,24,17,36,34,2,11,19
13,3,13,20,18,3,34,13,19,12,13,16,11,13,6,10,13,18,27,15,2,13,13
28,7,10,25,22,8,29,14,41,5,32,24,13,16,8,32,18,16,28,30,6,23,33
37,12,13,32,24,8,46,30,30,10,22,27,23,32,8,18,41,32,27,35,3,9,28
46,14,22,23,36,7,17,36,33,18,35,37,25,39,25,24,29,18,22,36,6,24,45
86,12,39,49,43,19,75,63,46,26,53,122,48,38,34,48,42,50,43,78,14,29,51
